Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
22,"1001,9","999,1","997,1","999,4","18,0","6,8","11,2","2,0","6,8","17,0","11,0","11,5",68,35,60,54,,,
23,"997,7","996,1","994,0","995,9","19,6","6,4","13,2","0,0","6,4","18,8","13,2","12,9",71,33,48,51,,,
24,"993,4","992,7","996,5","994,2","18,3","5,6","12,7","1,5","9,8","17,4","5,6","9,6",55,39,92,62,,,
25,"1005,6","1008,0","1010,2","1007,9","9,4","2,9","6,5","3,3","2,9","9,1","4,3","5,2",92,54,64,70,,,
26,"1007,5","1003,6","1003,2","1004,8","14,4","1,5","12,9","-3,1","1,9","13,3","10,2","8,9",69,50,68,62,,,
27,"1002,6","999,2","997,6","999,8","19,3","6,3","13,0","1,6","7,7","18,8","14,0","13,6",84,45,57,62,,,
28,"995,8","991,8","991,2","992,9","23,0","12,1","10,9","6,2","12,1","22,3","16,2","16,7",57,30,41,43,,,
dek1,"1001,6","1001,7","1002,5","1001,9","9,8","4,0","5,8","2,2","5,3","8,0","5,9","6,3",75,65,73,71,,,
dek2,"1014,4","1013,7","1013,8","1014,0","4,4","-3,2","7,6","-4,6","-3,0","3,3","0,3","0,2",85,63,80,76,,,
dek3,"1000,8","998,6","998,6","999,4","16,8","5,5","11,4","1,0","6,2","16,1","10,5","10,8",72,40,61,58,,,
mes,"1006,0","1005,1","1005,4","1005,5","9,9","1,8","8,0","-0,5","2,6","8,6","5,2","5,4",78,57,72,69,,,
1,"5,6","6,2","6,4","6,1",SSE,"0,8",SSE,"2,4",SSE,"2,4","1,9",-,7,9,9,"8,3","0,0",6,.
2,"7,4","7,9","7,3","7,5",SSE,"2,4",SSE,"2,4",S,"2,4","2,4",-,5,10,6,"7,0","0,4",.,.
3,"7,6","7,3","8,9","7,9",S,"2,4",SW,"2,4",SSW,"2,4","2,4",-,9,8,10,"9,0",.,.,.
4,"8,3","10,8","9,0","9,4",ESE,"2,4",SSW,"2,4",S,"2,4","2,4",-,10,9,4,"7,7","0,2",.,.
5,"8,2","7,8","7,4","7,8",W,"4,4",W,"2,4",SE,"4,4","3,7",-,6,4,4,"4,7","2,3",.,.
6,"8,1","8,5","8,7","8,4",SSE,"4,4",SE,"4,4",SSE,"4,4","4,4",-,9,10,10,"9,7","0,0",.,.
7,"8,4","6,7","6,4","7,2",WSW,"2,4",WNW,"4,4",W,"2,4","3,0",-,10,10,10,"10,0","3,3",.,.
